G,Date,Start (ET),,,Opponent,,,Tm,Opp,W,L,Streak
63,Sun Mar 8 2020,6:00p,Box Score,,Oklahoma City Thunder,L,,104,105,42,21,L 2
64,Tue Mar 10 2020,7:00p,Box Score,@,Indiana Pacers,W,,114,111,43,21,W 1
65,Fri Jul 31 2020,6:30p,Box Score,@,Milwaukee Bucks,L,,112,119,43,22,L 1
66,Sun Aug 2 2020,3:30p,Box Score,,Portland Trail Blazers,W,,128,124,44,22,W 1
67,Tue Aug 4 2020,6:30p,Box Score,@,Miami Heat,L,,106,112,44,23,L 1
68,Wed Aug 5 2020,9:00p,Box Score,,Brooklyn Nets,W,,149,115,45,23,W 1
69,Fri Aug 7 2020,9:00p,Box Score,@,Toronto Raptors,W,,122,100,46,23,W 2
70,Sun Aug 9 2020,5:00p,Box Score,,Orlando Magic,W,OT,122,119,47,23,W 3
71,Tue Aug 11 2020,5:00p,Box Score,@,Memphis Grizzlies,W,,122,107,48,23,W 4
72,Thu Aug 13 2020,12:00p,Box Score,,Washington Wizards,L,,90,96,48,24,L 1
