G,Date,Start (ET),,,Opponent,,,Tm,Opp,W,L,Streak
63,Fri Mar 6 2020,8:00p,Box Score,@,New Orleans Pelicans,L,,104,110,40,23,L 1
64,Sun Mar 8 2020,7:00p,Box Score,@,Washington Wizards,W,,100,89,41,23,W 1
65,Wed Mar 11 2020,7:30p,Box Score,,Charlotte Hornets,L,,98,109,41,24,L 1
66,Sat Aug 1 2020,1:00p,Box Score,@,Denver Nuggets,W,,125,105,42,24,W 1
67,Mon Aug 3 2020,1:30p,Box Score,,Toronto Raptors,L,,103,107,42,25,L 1
68,Tue Aug 4 2020,6:30p,Box Score,,Boston Celtics,W,,112,106,43,25,W 1
69,Thu Aug 6 2020,4:00p,Box Score,@,Milwaukee Bucks,L,,116,130,43,26,L 1
70,Sat Aug 8 2020,7:30p,Box Score,,Phoenix Suns,L,,112,119,43,27,L 2
71,Mon Aug 10 2020,8:00p,Box Score,,Indiana Pacers,W,,114,92,44,27,W 1
72,Wed Aug 12 2020,8:00p,Box Score,@,Oklahoma City Thunder,L,,115,116,44,28,L 1
73,Fri Aug 14 2020,4:00p,Box Score,@,Indiana Pacers,L,,92,109,44,29,L 2
