Team,ELO
Phoenix,1000
Toronto,1000
Boston,1000
Portland,1000
Indiana,1000
Brooklyn,1000
San Antonio,1000
LA Clippers,1000
Philadelphia,1000
Chicago,1000
Charlotte,1000
Atlanta,1000
Cleveland,1000
Golden State,1000
New York,1000
Detroit,1000
Minnesota,1000
Oklahoma City,1000
LA Lakers,1000
Dallas,1000
Milwaukee,1000
Houston,1000
Miami,1000
Sacramento,1000
Denver,1000
Orlando,1000
Memphis,1000
Utah,1000
New Orleans,1000
Washington,1000
